,stories,points,comments
2026-01-24,0,0,0
2026-01-25,8,15,3
2026-01-26,13,286,42
2026-01-27,22,96,22
2026-01-28,21,330,127
2026-01-29,17,607,240
2026-01-30,20,250,123
2026-01-31,15,137,41
2026-02-01,17,274,156
2026-02-02,20,1215,2217
2026-02-03,31,1555,1426
2026-02-04,23,652,328
2026-02-05,15,174,92
2026-02-06,19,68,32
2026-02-07,16,39,11
2026-02-08,10,387,353
2026-02-09,34,550,406
2026-02-10,32,709,314
2026-02-11,18,525,66
2026-02-12,16,37,29
2026-02-13,15,38,29
2026-02-14,13,363,351
2026-02-15,13,117,39
2026-02-16,14,130,16
2026-02-17,15,75,63
2026-02-18,22,217,161
2026-02-19,20,90,19
2026-02-20,19,50,8
2026-02-21,13,280,84
2026-02-22,11,30,3
2026-02-23,27,530,405
2026-02-24,23,73,14
2026-02-25,26,213,103
2026-02-26,21,47,14
2026-02-27,24,324,111
2026-02-28,20,626,226
2026-03-01,25,86,27
2026-03-02,17,118,17
2026-03-03,29,506,234
2026-03-04,28,162,52
2026-03-05,23,251,155
2026-03-06,19,97,52
2026-03-07,13,44,16
2026-03-08,18,55,11
2026-03-09,14,140,99
2026-03-10,20,85,27
2026-03-11,20,190,24
2026-03-12,15,158,66
2026-03-13,16,151,36
2026-03-14,18,234,46
2026-03-15,13,148,35
2026-03-16,16,50,16
2026-03-17,11,25,14
2026-03-18,23,631,597
2026-03-19,21,137,41
2026-03-20,9,69,34
2026-03-21,10,288,385
2026-03-22,14,178,79
2026-03-23,18,131,56
2026-03-24,33,565,132
2026-03-25,11,98,51
2026-03-26,11,68,7
2026-03-27,14,188,51
2026-03-28,15,159,102
2026-03-29,10,43,7
2026-03-30,19,161,92
2026-03-31,20,96,16
2026-04-01,24,628,661
2026-04-02,24,264,310
2026-04-03,22,481,174
2026-04-04,21,298,73
2026-04-05,14,97,36
2026-04-06,14,209,62
2026-04-07,24,51,9
2026-04-08,17,47,8
2026-04-09,9,674,334
2026-04-10,15,151,104
2026-04-11,12,342,234
2026-04-12,14,586,323
2026-04-13,15,299,95
2026-04-14,13,93,30
2026-04-15,12,42,8
2026-04-16,12,32,21
2026-04-17,19,188,48
2026-04-18,15,271,121
2026-04-19,13,117,51
2026-04-20,19,112,104
2026-04-21,24,1107,1006
2026-04-22,32,333,197
2026-04-23,17,67,13
2026-04-24,11,125,40
2026-04-25,14,71,9
2026-04-26,8,132,55
2026-04-27,17,68,35
2026-04-28,18,485,125
2026-04-29,21,91,38
2026-04-30,10,34,5
2026-05-01,23,598,306
2026-05-02,7,23,5
2026-05-03,12,189,97
2026-05-04,11,207,67
2026-05-05,20,71,3
2026-05-06,25,692,540
2026-05-07,19,100,10
2026-05-08,13,79,34
2026-05-09,7,47,16
2026-05-10,10,629,340
2026-05-11,6,20,4
2026-05-12,18,180,89
2026-05-13,26,411,653
2026-05-14,14,202,204
2026-05-15,13,367,123
2026-05-16,10,48,19
2026-05-17,11,36,12
2026-05-18,18,240,150
2026-05-19,20,113,39
2026-05-20,25,856,591
2026-05-21,43,279,43
2026-05-22,31,662,394
2026-05-23,10,162,30
2026-05-24,13,30,3
2026-05-25,19,61,8
2026-05-26,14,466,244
2026-05-27,20,81,20
2026-05-28,20,77,6
2026-05-29,15,1070,1103
2026-05-30,9,840,87
2026-05-31,10,120,41
2026-06-01,17,835,1300
2026-06-02,30,1145,544
2026-06-03,24,300,71
2026-06-04,39,1473,692
2026-06-05,32,807,1329
2026-06-06,12,1957,520
2026-06-07,11,94,40
2026-06-08,17,67,7
2026-06-09,27,639,410
2026-06-10,28,474,266
2026-06-11,32,371,210
2026-06-12,36,527,359
2026-06-13,19,78,12
2026-06-14,20,82,13
2026-06-15,20,139,79
2026-06-16,38,1796,1789
2026-06-17,23,382,357
2026-06-18,21,355,106
2026-06-19,17,608,269
2026-06-20,14,238,118
2026-06-21,9,110,26
2026-06-22,20,363,266
2026-06-23,18,330,209
2026-06-24,18,378,301
2026-06-25,17,90,13
2026-06-26,21,401,144
2026-06-27,9,158,42
2026-06-28,3,151,28
2026-06-29,24,96,17
2026-06-30,16,62,31
2026-07-01,18,67,25
2026-07-02,15,52,19
2026-07-03,18,91,29
2026-07-04,16,300,390
2026-07-05,12,144,47
2026-07-06,20,190,45
2026-07-07,17,121,24
2026-07-08,23,145,126
2026-07-09,24,238,94
2026-07-10,27,528,1351
2026-07-11,18,369,226
2026-07-12,10,77,26
2026-07-13,23,192,45
2026-07-14,36,407,182
2026-07-15,17,864,654
2026-07-16,27,847,513
2026-07-17,24,688,362
2026-07-18,16,168,88
2026-07-19,5,10,2
2026-07-20,20,125,47
2026-07-21,27,233,60
2026-07-22,16,96,37
2026-07-23,21,265,100
